ID	Facility	CR	DR
1	"Bergen County Jail (NJ) - Feb. 24, 2021"	Cover Letter	Detention Review Summary Form
2	"Eloy Detention Center (AZ) - Feb. 5, 2021"	Cover Letter	Detention Review Summary Form
3	"Glades County Detention Center (FL) - Feb. 24, 2021"	Cover Letter	Detention Review Summary Form
4	"Immigration Centers of America (ICA) - Farmville Detention Center (FDC) (VA) - Feb. 24, 2021  "	Cover Letter	Detention Review Summary Form 
5	"Krome Special Processing Center (SPC) (FL) - Feb. 10, 2021"	Cover Letter	Detention Review Summary Form
6	"Morrow County Correctional Facility (OH) - Feb. 10, 2021"	Cover Letter	Detention Review Summary Form
7	"Otay Mesa Detention Facility (CA) - Feb. 3, 2021"	Cover Letter	Detention Review Summary Form
8	"Prarieland Detention Center (TX) - Feb. 10, 2021"	Cover Letter	Detention Review Summary Form
9	"South Texas Processing Center (TX) - Feb. 26, 2021"	Cover Letter	Detention Review Summary Form
10	"Webb County Detention Center (TX) - Feb. 3, 2021"	Cover Letter	Detention Review Summary Form
11	"Worcester County Jail (MD) - Feb. 3, 2021"	Cover Letter	Detention Review Summary Form
12	"Alamance County Detention Center (NC) - Jan. 8, 2021"	Cover Letter	Detention Review Summary Form
13	"Aurora II Annex (CO) - Jan. 29, 2021"	Cover Letter	Detention Review Summary Form
14	"Aurora ICE Processing Center (CO) - Jan. 27, 2021"	Cover Letter	Detention Review Summary Form
15	"Butler County Jail (OH) - Jan. 21, 2021"	Cover Letter	Detention Review Summary Form
16	"Chase County Detention Center (KS) - Jan. 27, 2021"	Cover Letter	Detention Review Summary Form
17	"Christian County Jail (MO) - Jan. 13, 2021"	Cover Letter	Detention Review Summary Form
18	"Houston Contract Detention Facility (TX) - Jan. 6, 2021"	Cover Letter	Detention Review Summary Form
19	"Imperial Regional Detention Facility (CA) - Jan. 13, 2021"	Cover Letter	Detention Review Summary Form
20	"Otero County Processing Center (NM) - Jan. 29, 2021"	Cover Letter	Detention Review Summary Form
21	"Polk County Adult Detention Center (TX) - Jan. 6, 2021"	Cover Letter	Detention Review Summary Form
22	"Port Isabel Service Processing Center (TX) - Jan. 27, 2021"	Cover Letter	Detention Review Summary Form
23	"Seneca County Jail (OH) - Jan. 13, 2021"	Cover Letter	Detention Review Summary Form
